season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
2,1,5,6,0,0,0,1,0.5,0.63,0.1343,25
2,0,3,21,0,3,1,2,0.24,0.93,0.2537,27
3,1,6,13,0,0,0,1,0.8,0.33,0.2836,585
3,1,7,16,0,0,0,1,0.86,0.41,0.2239,495
2,1,5,16,0,3,1,1,0.64,0.65,0.1642,367
1,1,2,20,0,4,1,1,0.46,0.44,0.1343,269
4,1,10,20,0,5,1,1,0.42,0.47,0.1343,308
3,1,9,22,0,6,0,1,0.56,0.52,0.0,279
2,1,6,7,0,3,1,2,0.66,0.89,0.0,464
3,1,9,20,0,2,1,1,0.74,0.7,0.2537,385
2,1,4,2,0,6,0,1,0.36,0.29,0.3582,36
1,0,1,19,0,2,1,3,0.16,0.93,0.0,51
4,0,10,6,0,2,1,1,0.46,0.82,0.0896,109
4,1,12,8,0,1,1,2,0.42,1.0,0.2537,584
3,0,9,7,0,2,1,2,0.54,0.83,0.3582,172
4,0,11,21,0,1,1,1,0.38,0.82,0.1045,139
2,0,5,17,0,5,1,3,0.52,0.88,0.1642,491
2,0,5,22,0,6,0,1,0.66,0.78,0.2239,161
2,0,4,4,1,5,0,1,0.38,0.82,0.0896,3
1,0,3,23,0,6,0,1,0.38,0.66,0.0896,49
3,1,7,15,0,2,1,2,0.9,0.24,0.0,401
1,0,1,3,0,5,1,3,0.22,0.8,0.2985,1
3,0,6,17,0,4,1,1,0.78,0.27,0.3582,594
1,0,1,1,0,4,1,1,0.26,0.56,0.0,5
3,1,8,12,0,4,1,1,0.8,0.33,0.1045,343
2,1,4,23,0,0,0,1,0.5,0.39,0.2537,51
3,1,6,10,0,4,1,1,0.74,0.48,0.194,184
1,0,1,18,0,5,1,1,0.24,0.75,0.194,109
2,1,5,7,0,3,1,2,0.56,0.94,0.194,418
2,0,4,18,0,0,0,1,0.56,0.3,0.3881,277
3,1,8,4,0,0,0,1,0.64,0.69,0.0896,10
4,1,11,1,0,6,0,1,0.34,0.42,0.4925,20
1,0,2,12,0,5,1,1,0.22,0.47,0.1343,71
3,1,8,7,0,3,1,1,0.62,0.78,0.0,553
2,0,4,4,0,4,1,1,0.34,0.76,0.194,1
2,0,3,0,0,3,1,3,0.36,0.71,0.2239,11
1,1,1,0,0,6,0,1,0.3,0.52,0.2836,69
1,0,1,22,0,1,1,2,0.16,0.59,0.1045,34
4,1,11,10,0,0,0,1,0.34,0.66,0.2985,329
3,1,8,19,0,5,1,2,0.8,0.63,0.2239,469
3,1,8,7,0,4,1,2,0.7,0.84,0.1642,475
4,0,10,0,0,0,0,3,0.36,0.93,0.2985,47
3,1,8,18,0,5,1,1,0.86,0.36,0.2537,546
3,1,9,22,0,1,1,3,0.62,0.83,0.2537,129
4,1,9,4,0,3,1,1,0.56,0.73,0.2537,14
3,1,8,17,0,3,1,1,0.78,0.35,0.2239,870
2,1,5,9,0,4,1,2,0.48,0.88,0.1045,304
3,0,9,23,0,4,1,3,0.62,1.0,0.0896,26
1,1,1,13,0,1,1,2,0.26,0.56,0.1045,80
3,1,8,17,0,6,0,3,0.74,0.66,0.3582,512
3,0,8,21,0,2,1,1,0.78,0.46,0.2537,230
1,0,3,16,0,3,1,2,0.4,0.76,0.1642,151
4,1,11,8,0,5,1,2,0.32,0.57,0.1343,711
2,1,6,13,0,5,1,1,0.74,0.37,0.2537,416
3,0,7,16,0,4,1,1,0.76,0.33,0.1343,274
3,1,7,11,0,2,1,1,0.86,0.34,0.194,217
3,0,6,2,0,4,1,1,0.72,0.74,0.2239,4
3,0,6,8,0,0,0,1,0.64,0.61,0.194,107
3,0,8,22,0,1,1,1,0.76,0.58,0.1045,147
1,0,2,11,1,1,0,2,0.32,0.57,0.1045,90
1,1,1,13,0,1,1,3,0.22,0.93,0.0896,37
4,1,10,1,0,0,0,2,0.5,0.72,0.2836,133
4,1,9,0,0,0,0,1,0.62,0.38,0.2537,180
4,1,11,7,0,1,1,2,0.36,0.66,0.2985,386
3,1,8,22,0,2,1,1,0.64,0.78,0.0,232
4,0,11,23,0,3,1,1,0.38,0.87,0.0,66
4,1,10,1,0,2,1,3,0.36,0.87,0.2239,13
3,0,9,19,0,3,1,2,0.64,0.89,0.0,226
3,1,7,6,0,3,1,1,0.72,0.7,0.1642,162
1,0,3,15,0,6,0,2,0.46,0.63,0.2985,205
1,1,12,2,0,4,1,2,0.24,0.87,0.4478,2
2,1,6,10,0,6,0,1,0.64,0.47,0.194,435
2,0,6,0,0,3,1,1,0.7,0.79,0.1642,34
2,1,5,21,0,6,0,2,0.72,0.62,0.194,251
3,1,8,6,0,5,1,1,0.66,0.83,0.2239,163
3,1,8,5,0,6,0,1,0.6,0.78,0.2537,9
3,0,8,7,0,5,1,1,0.64,0.44,0.1642,264
1,0,12,1,0,2,1,1,0.26,0.7,0.1343,6
1,0,3,23,0,4,1,1,0.42,0.62,0.2836,50
3,1,8,10,0,4,1,1,0.72,0.54,0.0,234
3,1,7,4,0,6,0,3,0.66,0.61,0.1045,9
3,1,8,14,0,3,1,2,0.76,0.52,0.2985,255
1,1,3,23,0,0,0,1,0.48,0.82,0.1642,46
3,1,9,3,0,0,0,1,0.66,0.89,0.0896,42
4,0,10,17,0,6,0,1,0.62,0.5,0.1343,393
3,0,9,14,0,2,1,3,0.54,0.88,0.2836,24
3,0,7,15,0,5,1,1,0.82,0.21,0.2537,381
1,0,3,16,0,1,1,1,0.34,0.31,0.3582,122
3,1,7,11,0,0,0,1,0.82,0.52,0.1642,451
3,1,7,4,0,6,0,1,0.7,0.79,0.194,11
3,1,7,11,0,1,1,2,0.8,0.52,0.1642,198
2,1,6,5,0,6,0,1,0.6,0.56,0.1045,19
3,1,8,9,0,2,1,1,0.64,0.69,0.0,328
3,1,8,7,0,6,0,2,0.64,0.78,0.194,102
1,0,2,9,0,6,0,1,0.16,0.64,0.1343,43
1,0,3,22,0,4,1,2,0.34,0.0,0.1343,34
1,0,12,20,0,2,1,1,0.32,0.93,0.0896,69
4,1,11,13,0,1,1,1,0.44,0.54,0.2537,251
1,0,1,22,0,1,1,1,0.14,0.69,0.1343,20
1,1,12,15,0,6,0,2,0.24,0.87,0.0,129
4,1,10,14,1,1,0,2,0.42,0.58,0.1045,420
3,1,8,12,0,3,1,1,0.74,0.51,0.0,312
4,1,11,9,0,2,1,3,0.32,0.81,0.3284,110
1,1,3,5,0,1,1,1,0.2,0.55,0.0896,18
2,1,4,9,0,0,0,1,0.44,0.26,0.2239,179
3,1,8,11,0,0,0,1,0.74,0.66,0.3582,482
4,1,10,15,0,6,0,1,0.5,0.36,0.194,615
3,0,9,6,0,0,0,1,0.58,0.88,0.1045,20
4,0,10,7,0,3,1,1,0.42,0.71,0.1642,299
1,0,1,11,0,2,1,2,0.24,0.6,0.1343,61
1,0,1,4,1,1,0,2,0.18,0.43,0.1343,3
2,1,6,8,0,2,1,2,0.48,0.77,0.2239,710
3,1,7,3,0,1,1,2,0.66,0.94,0.0896,2
4,1,10,7,0,6,0,1,0.48,0.83,0.194,86
1,0,3,15,0,2,1,1,0.34,0.34,0.0,64
2,0,6,16,0,3,1,1,0.92,0.4,0.2239,233
2,0,5,15,0,6,0,1,0.72,0.45,0.2537,506
4,1,11,23,0,1,1,1,0.26,0.6,0.1343,53
1,1,2,7,0,3,1,2,0.3,0.65,0.194,321
2,1,4,23,0,1,1,1,0.32,0.76,0.1642,59
4,0,10,13,0,3,1,2,0.54,0.94,0.2836,106
4,1,11,20,0,5,1,1,0.46,0.41,0.0896,142
2,1,5,3,1,1,0,1,0.62,0.73,0.1642,18
4,1,12,15,0,2,1,1,0.46,0.44,0.4925,246
3,0,7,10,0,4,1,1,0.78,0.62,0.0,101
2,1,4,11,0,2,1,1,0.6,0.33,0.4179,239
3,1,8,18,0,0,0,1,0.78,0.35,0.1045,491
2,0,5,18,0,6,0,2,0.7,0.45,0.1642,444
2,1,5,10,1,1,0,1,0.7,0.61,0.0,364
4,1,10,17,0,6,0,1,0.54,0.37,0.2239,731
2,1,5,11,0,6,0,1,0.62,0.41,0.0896,522
4,1,11,5,0,4,1,1,0.34,0.66,0.1343,40
3,0,8,1,0,6,0,1,0.7,0.84,0.1642,64
3,0,8,23,0,6,0,3,0.7,0.84,0.2836,108
4,0,12,16,0,2,1,1,0.38,0.37,0.2537,207
3,0,6,18,0,6,0,1,0.72,0.45,0.2537,307
3,1,6,10,0,4,1,1,0.84,0.49,0.1045,150
3,0,7,14,0,5,1,2,0.8,0.63,0.3582,216
3,1,6,22,0,6,0,1,0.78,0.62,0.1642,172
4,0,10,23,0,0,0,1,0.26,0.87,0.0,37
2,1,4,10,0,0,0,1,0.42,0.67,0.0896,380
1,0,2,1,0,4,1,1,0.34,0.53,0.2239,6
3,0,7,18,0,4,1,1,0.9,0.5,0.2836,382
3,0,9,15,0,1,1,1,0.74,0.48,0.0896,212
4,0,10,20,0,4,1,1,0.5,0.77,0.1045,260
1,1,3,17,0,1,1,1,0.64,0.53,0.2239,721
4,1,10,2,0,1,1,1,0.46,0.72,0.0,12
4,0,9,8,0,5,1,3,0.62,0.94,0.1343,317
3,0,8,23,0,6,0,2,0.66,0.83,0.3284,120
2,0,5,4,0,6,0,1,0.56,0.88,0.2537,4
2,0,6,2,0,3,1,1,0.52,0.63,0.2239,9
3,0,8,4,0,3,1,1,0.64,0.73,0.0,5
3,1,8,8,0,2,1,2,0.66,0.89,0.0896,618
3,1,8,0,0,3,1,1,0.7,0.61,0.194,60
3,1,8,11,0,1,1,1,0.76,0.66,0.1343,260
3,1,8,11,0,2,1,2,0.76,0.66,0.0896,214
2,1,6,15,0,0,0,1,0.66,0.5,0.2239,463
2,0,4,6,0,2,1,1,0.56,0.88,0.2239,80
1,1,1,12,0,3,1,1,0.32,0.53,0.1343,193
3,1,8,11,0,4,1,1,0.82,0.52,0.1045,226
2,1,5,12,0,4,1,1,0.7,0.58,0.1045,289
4,0,11,13,0,0,0,1,0.46,0.51,0.1642,314
1,1,12,16,0,3,1,3,0.26,0.87,0.3582,13
3,0,8,15,0,6,0,2,0.84,0.53,0.2537,362
1,0,1,13,0,6,0,2,0.22,0.55,0.1642,65
4,0,12,17,0,4,1,1,0.3,0.49,0.1045,331
4,0,10,21,0,5,1,1,0.5,0.45,0.194,178
2,1,4,23,0,2,1,1,0.54,0.32,0.2239,82
4,1,10,21,0,2,1,3,0.62,0.94,0.1045,289
1,1,1,8,0,3,1,1,0.2,0.82,0.1045,499
4,1,12,10,0,0,0,2,0.3,0.87,0.0,293
1,0,3,22,0,1,1,1,0.32,0.49,0.1045,47
3,1,8,8,0,6,0,1,0.74,0.72,0.194,181
3,0,8,18,0,3,1,1,0.82,0.28,0.2985,559
3,0,8,18,0,1,1,1,0.84,0.41,0.1343,529
4,0,12,12,0,6,0,1,0.36,0.5,0.0,358
2,0,4,15,0,5,1,1,0.34,0.46,0.4179,111
4,0,11,10,0,0,0,1,0.46,0.72,0.2836,189
1,0,2,8,0,5,1,1,0.1,0.74,0.1642,216
4,0,11,2,1,5,0,1,0.32,0.57,0.2836,11
1,0,1,9,0,5,1,1,0.14,0.69,0.1343,117
2,1,4,2,0,0,0,2,0.54,0.56,0.1045,74
3,0,6,17,0,4,1,2,0.72,0.7,0.3582,569
3,0,7,14,0,3,1,1,0.84,0.28,0.2239,127
3,0,9,23,0,5,1,2,0.64,0.73,0.1642,98
4,1,11,19,0,1,1,1,0.34,0.53,0.0,371
4,0,10,15,0,6,0,3,0.22,0.93,0.2537,41
4,0,11,6,0,2,1,2,0.56,0.64,0.0896,108
2,0,3,10,0,4,1,3,0.26,0.93,0.2537,69
2,0,6,2,0,4,1,2,0.72,0.84,0.1642,6
2,1,5,9,0,3,1,2,0.6,0.83,0.0,325
3,0,8,21,0,0,0,1,0.66,0.61,0.1343,186
3,1,6,7,0,4,1,2,0.7,0.84,0.0896,463
1,0,3,15,0,4,1,1,0.52,0.42,0.2537,125
3,1,7,9,0,1,1,2,0.66,0.83,0.1642,363
4,0,10,0,0,0,0,1,0.46,0.44,0.1343,107
3,1,8,21,0,3,1,1,0.72,0.7,0.1343,320
1,0,2,20,0,2,1,1,0.26,0.33,0.1045,101
2,1,5,10,0,0,0,1,0.66,0.34,0.2985,432
4,1,10,18,0,5,1,1,0.64,0.57,0.1343,761
2,0,6,22,0,6,0,1,0.64,0.57,0.2239,190
3,1,8,19,0,0,0,1,0.74,0.4,0.1343,465
2,0,6,4,0,6,0,1,0.6,0.88,0.0896,5
1,1,1,5,0,5,1,1,0.22,0.6,0.1045,19
3,1,8,8,0,3,1,1,0.64,0.73,0.0896,740
4,1,11,18,1,4,0,1,0.4,0.43,0.0,70
4,1,11,4,0,4,1,1,0.2,0.75,0.0896,7
3,0,8,13,0,5,1,2,0.78,0.59,0.1045,237
2,0,6,5,0,3,1,1,0.48,0.67,0.2836,21
2,1,4,13,0,2,1,1,0.56,0.19,0.2537,345
4,0,12,18,0,0,0,1,0.24,0.48,0.194,163
1,0,1,19,0,0,0,1,0.18,0.47,0.1343,61
2,0,6,9,0,3,1,1,0.76,0.58,0.1642,202
4,0,12,4,0,2,1,2,0.36,0.53,0.1045,4
1,1,3,8,0,1,1,1,0.34,0.61,0.1343,564
2,1,4,3,0,5,1,1,0.44,0.88,0.1045,10
3,1,6,17,0,1,1,1,0.8,0.24,0.4627,833
2,0,6,13,0,4,1,1,0.9,0.37,0.0896,136
1,0,12,1,0,6,0,2,0.32,0.66,0.0,16
1,1,2,2,0,1,1,1,0.26,0.7,0.2985,4
4,1,10,7,0,5,1,1,0.52,0.83,0.1045,428
3,1,7,6,0,3,1,1,0.64,0.65,0.194,190
3,1,8,4,0,3,1,2,0.64,0.78,0.1343,4
3,1,9,23,0,0,0,1,0.56,0.52,0.2836,92
1,0,3,5,0,4,1,1,0.14,0.33,0.2985,8
1,1,3,1,0,1,1,1,0.46,0.88,0.1045,15
2,1,6,23,0,4,1,2,0.62,0.69,0.1642,172
1,0,1,11,0,0,0,2,0.36,0.71,0.2537,70
3,1,6,9,0,0,0,1,0.72,0.51,0.0,232
4,1,10,22,0,5,1,1,0.4,0.47,0.2985,160
2,1,5,10,0,0,0,2,0.54,0.77,0.1045,333
4,0,10,17,0,4,1,2,0.5,0.72,0.4627,322
1,0,2,1,0,3,1,3,0.22,0.93,0.194,3
1,1,2,14,0,1,1,1,0.34,0.23,0.1045,135
4,1,11,10,0,4,1,1,0.28,0.65,0.0896,178
3,0,9,0,0,0,0,1,0.46,0.77,0.2239,112
3,0,7,21,0,2,1,1,0.74,0.74,0.1343,241
2,0,5,21,0,0,0,1,0.68,0.83,0.1642,229
1,1,1,23,0,1,1,1,0.26,0.6,0.194,52
1,1,1,5,0,1,1,2,0.2,0.86,0.0,19
3,0,7,4,0,6,0,1,0.76,0.66,0.1045,9
4,0,9,18,0,1,1,1,0.66,0.83,0.1045,553
3,0,7,17,0,4,1,1,0.86,0.36,0.2537,569
1,0,12,2,0,5,1,3,0.38,0.94,0.1343,13
4,0,10,5,0,6,0,2,0.44,0.62,0.2985,5
1,0,12,6,0,6,0,2,0.3,0.75,0.1642,10
2,0,6,5,0,5,1,1,0.52,0.48,0.3582,28
3,0,9,10,0,2,1,3,0.54,0.83,0.3582,106
1,1,2,7,0,3,1,2,0.24,0.7,0.1045,281
3,1,6,9,0,5,1,1,0.76,0.58,0.2239,333
4,0,11,11,0,3,1,3,0.46,0.94,0.0896,60
2,0,6,16,0,6,0,2,0.8,0.46,0.194,394
3,0,9,23,0,0,0,2,0.72,0.7,0.1642,104
3,0,7,0,0,1,1,1,0.7,0.74,0.1343,51
1,0,1,22,0,4,1,2,0.22,0.51,0.2836,52
3,0,8,0,0,4,1,1,0.68,0.65,0.1343,56
3,1,8,21,0,6,0,2,0.66,0.89,0.1642,128
4,1,12,7,0,6,0,2,0.24,0.87,0.1343,63
2,0,4,3,0,2,1,2,0.58,0.56,0.1343,1
3,0,8,1,0,1,1,1,0.68,0.79,0.0896,21
1,0,12,11,0,3,1,1,0.36,0.46,0.3582,111
2,0,6,11,0,5,1,1,0.68,0.69,0.2537,181
1,1,12,4,0,0,0,1,0.2,0.47,0.1343,4
4,0,10,16,0,0,0,1,0.52,0.55,0.194,405
4,0,10,13,0,3,1,1,0.64,0.41,0.2239,219
3,1,7,21,0,2,1,2,0.7,0.7,0.2836,196
1,0,3,5,0,3,1,2,0.24,0.81,0.1343,8
2,0,5,23,0,5,1,1,0.44,0.82,0.1343,120
2,0,4,15,0,1,1,2,0.6,0.43,0.194,176
3,0,7,23,0,6,0,1,0.72,0.58,0.194,140
4,1,11,4,0,3,1,2,0.26,0.7,0.194,4
3,1,9,8,0,5,1,1,0.54,0.73,0.1343,757
1,1,2,22,0,3,1,2,0.44,0.47,0.2537,147
4,0,12,3,0,3,1,3,0.46,1.0,0.2239,3
2,1,6,1,0,3,1,1,0.52,0.68,0.0,27
2,1,3,18,0,5,1,1,0.42,0.54,0.194,560
4,1,10,17,0,3,1,1,0.58,0.43,0.2239,948
1,1,2,23,0,4,1,1,0.32,0.81,0.0896,73
1,0,1,1,0,1,1,1,0.04,0.45,0.194,1
1,0,1,8,0,0,0,1,0.06,0.62,0.1642,19
3,0,8,8,0,1,1,1,0.62,0.57,0.2537,404
1,1,2,23,0,3,1,2,0.46,0.41,0.2836,62
2,0,5,1,0,5,1,1,0.4,0.62,0.1642,32
4,1,9,23,0,3,1,2,0.6,0.78,0.2537,115
1,0,3,19,0,6,0,2,0.46,0.67,0.3284,89
1,1,2,13,0,6,0,1,0.32,0.31,0.4925,226
4,1,12,19,0,3,1,1,0.38,0.43,0.3582,414
2,0,5,16,0,1,1,3,0.6,0.78,0.2537,226
4,0,11,0,0,5,1,1,0.26,0.48,0.1642,30
1,0,3,5,0,6,0,1,0.52,0.34,0.4179,2
2,0,4,6,0,5,1,1,0.34,0.53,0.2836,49
4,1,11,19,0,6,0,1,0.34,0.53,0.0896,253
1,1,12,7,0,1,1,1,0.16,0.64,0.1343,85
3,0,7,20,0,5,1,1,0.86,0.41,0.3284,206
1,0,1,16,0,6,0,2,0.42,0.82,0.2985,93
3,0,6,13,0,2,1,1,0.84,0.44,0.0,189
3,0,7,5,0,6,0,1,0.72,0.7,0.2836,13
1,1,2,0,0,0,0,1,0.24,0.41,0.3582,70
2,1,6,7,0,4,1,1,0.6,0.6,0.2836,506
4,1,10,7,0,5,1,3,0.54,0.94,0.0,154
4,0,12,8,0,2,1,2,0.46,0.94,0.194,414
3,1,6,6,0,0,0,1,0.64,0.65,0.1642,25
4,1,10,10,0,4,1,2,0.54,0.83,0.1343,225
3,0,9,16,0,0,0,2,0.56,0.64,0.1642,369
4,1,10,2,0,0,0,1,0.4,0.62,0.1642,132
1,1,1,15,0,5,1,2,0.22,0.35,0.194,156
2,0,4,19,0,6,0,1,0.54,0.43,0.1343,387
4,1,12,23,0,6,0,2,0.4,0.94,0.0,162
1,1,3,13,0,3,1,1,0.5,0.34,0.4179,205
3,1,8,6,0,3,1,2,0.7,0.84,0.1642,173
4,0,10,20,0,6,0,1,0.42,0.67,0.0,159
2,0,5,6,0,0,0,2,0.52,1.0,0.1343,17
4,0,11,7,0,2,1,3,0.38,0.94,0.2239,121
4,0,10,13,0,2,1,2,0.6,0.73,0.194,180
4,0,11,9,0,4,1,2,0.36,0.81,0.194,164
2,0,5,9,0,5,1,1,0.7,0.65,0.2836,227
3,0,9,6,0,3,1,1,0.58,0.88,0.1045,145
1,0,1,17,0,6,0,1,0.12,0.28,0.0,67
4,1,11,9,0,2,1,2,0.36,0.71,0.0,326
3,1,8,20,0,1,1,2,0.62,0.83,0.2836,261
1,0,12,14,1,1,0,1,0.38,0.4,0.3284,153
3,0,7,18,0,3,1,1,0.76,0.62,0.194,563
4,1,12,21,0,6,0,2,0.36,1.0,0.0,209
1,1,1,17,0,0,0,1,0.36,0.21,0.4179,234
1,1,1,14,0,3,1,1,0.3,0.33,0.3881,105
1,0,3,18,0,0,0,1,0.4,0.43,0.3582,147
1,1,2,3,0,4,1,2,0.42,0.67,0.1343,2
1,1,1,11,0,5,1,2,0.2,0.32,0.3582,123
2,1,4,23,0,2,1,1,0.5,0.59,0.0,79
4,0,11,18,0,3,1,1,0.44,0.67,0.1045,408
4,0,12,5,0,1,1,1,0.3,0.87,0.1045,25
1,1,3,11,0,5,1,2,0.44,0.77,0.0,207
4,1,11,19,0,4,1,2,0.4,0.5,0.1642,452
3,0,7,22,0,0,0,2,0.66,0.78,0.1045,162
1,0,2,23,0,1,1,1,0.32,0.49,0.4925,20
4,0,12,21,0,2,1,2,0.44,1.0,0.194,114
1,1,3,0,0,4,1,1,0.44,0.62,0.3284,46
1,0,3,5,0,4,1,1,0.32,0.76,0.1045,13
4,1,11,13,0,6,0,1,0.32,0.36,0.3284,225
3,1,7,15,0,6,0,3,0.6,0.88,0.2537,380
2,1,4,10,0,6,0,2,0.38,0.4,0.1642,291
4,0,11,8,0,0,0,2,0.28,0.87,0.0896,90
1,1,2,22,0,2,1,1,0.32,0.57,0.194,118
3,1,8,5,0,0,0,1,0.72,0.74,0.2537,19
3,1,9,15,0,3,1,1,0.72,0.37,0.1343,318
1,1,2,12,0,6,0,2,0.26,0.81,0.1642,221
3,0,6,12,0,2,1,1,0.84,0.47,0.2239,202
2,1,4,15,0,0,0,1,0.7,0.39,0.3881,617
3,0,7,2,0,2,1,1,0.68,0.89,0.1045,7
4,1,11,6,0,0,0,1,0.3,0.87,0.0896,19
3,1,9,2,0,6,0,1,0.58,0.78,0.1045,93
1,1,1,3,0,0,0,1,0.34,0.42,0.1343,32
2,1,5,4,0,1,1,2,0.46,0.88,0.1343,2
2,1,4,3,0,6,0,1,0.36,0.66,0.0896,32
3,1,7,6,0,6,0,3,0.58,0.88,0.2537,15
2,0,6,18,0,0,0,2,0.74,0.58,0.0896,296
1,1,2,20,0,3,1,1,0.52,0.52,0.1642,264
1,0,1,6,0,1,1,1,0.12,0.5,0.2836,31
1,1,2,10,0,4,1,1,0.22,0.51,0.2239,97
1,0,2,20,0,5,1,1,0.3,0.49,0.6119,62
2,1,4,3,0,4,1,1,0.42,0.41,0.2985,5
3,1,7,14,0,5,1,1,0.86,0.47,0.2985,326
2,1,6,9,0,4,1,1,0.62,0.61,0.2239,357
4,1,12,8,0,6,0,2,0.38,0.94,0.0896,111
4,1,10,6,0,3,1,1,0.48,0.82,0.1045,173
3,0,7,1,0,4,1,1,0.72,0.51,0.0,29
1,1,2,16,0,3,1,1,0.42,0.38,0.194,231
1,1,1,21,0,3,1,2,0.2,0.44,0.0,90
4,0,10,14,0,1,1,2,0.54,0.64,0.194,206
2,1,5,1,0,2,1,2,0.5,0.63,0.1343,21
3,1,8,15,0,0,0,1,0.76,0.4,0.1343,577
2,1,5,15,0,2,1,1,0.82,0.49,0.3881,256
3,1,7,5,0,1,1,1,0.66,0.78,0.1045,50
1,0,2,5,1,1,0,2,0.34,0.36,0.0,3
4,1,11,6,0,1,1,2,0.3,0.49,0.2836,139
1,0,1,2,0,5,1,3,0.24,0.75,0.1642,2
3,0,9,14,0,0,0,1,0.72,0.58,0.2836,342
1,1,3,20,0,1,1,1,0.26,0.37,0.4627,179
1,1,2,16,0,5,1,1,0.4,0.37,0.1045,311
2,1,5,10,0,6,0,1,0.56,0.49,0.0896,411
2,0,5,17,0,0,0,1,0.74,0.7,0.2836,383
4,0,11,9,1,4,0,1,0.34,0.61,0.0,81
3,1,7,13,0,2,1,2,0.84,0.53,0.2985,273
2,1,5,14,0,1,1,2,0.62,0.5,0.3582,239
4,0,11,9,0,6,0,1,0.34,0.76,0.0896,83
4,0,10,22,0,3,1,3,0.54,0.94,0.0896,43
1,1,2,21,0,5,1,2,0.32,0.66,0.0896,122
1,0,2,13,0,0,0,1,0.42,0.47,0.0,259
2,0,6,0,0,6,0,1,0.7,0.79,0.1343,117
1,1,3,1,0,5,1,2,0.42,0.82,0.3284,26
2,0,4,0,0,0,0,1,0.52,0.83,0.2239,96
3,1,7,9,0,6,0,1,0.78,0.59,0.1045,337
2,1,4,6,0,6,0,1,0.5,0.82,0.2239,31
4,1,11,22,0,4,1,2,0.32,0.66,0.1642,153
2,0,3,6,0,1,1,3,0.32,0.76,0.2537,32
2,0,4,16,0,2,1,1,0.7,0.58,0.3881,291
2,1,4,5,0,4,1,1,0.3,0.61,0.2239,21
4,0,10,21,0,0,0,1,0.32,0.66,0.0,79
3,0,6,20,0,5,1,1,0.72,0.45,0.1642,288
1,1,2,12,0,2,1,2,0.3,0.52,0.2239,172
4,0,10,15,0,1,1,1,0.56,0.6,0.1642,177
1,0,12,21,0,4,1,3,0.42,0.71,0.0,17
2,0,5,19,0,1,1,1,0.58,0.83,0.2537,308
1,1,1,18,0,0,0,1,0.34,0.23,0.3582,168
1,0,2,15,0,3,1,1,0.34,0.25,0.0896,72
1,1,3,13,0,5,1,1,0.42,0.44,0.2239,222
1,0,1,7,0,6,0,1,0.14,0.63,0.0,10
1,1,3,17,0,5,1,3,0.48,0.82,0.0896,258
3,0,9,9,0,6,0,2,0.66,0.69,0.2537,201
4,0,10,17,0,0,0,3,0.36,0.87,0.1642,167
2,1,6,5,0,1,1,3,0.52,0.83,0.1343,23
2,0,3,20,0,6,0,2,0.28,0.45,0.2537,85
3,0,8,9,0,4,1,1,0.72,0.74,0.3284,187
4,1,12,2,0,2,1,2,0.4,0.66,0.3284,1
1,0,1,16,0,0,0,3,0.34,0.71,0.1642,76
1,0,2,16,0,6,0,1,0.34,0.29,0.4179,145
3,1,9,4,0,6,0,2,0.6,0.69,0.3582,6
2,1,5,17,0,2,1,1,0.74,0.48,0.0896,681
4,0,10,15,0,1,1,1,0.44,0.47,0.1642,168
4,1,10,2,0,4,1,1,0.42,0.5,0.1343,11
1,1,1,9,0,5,1,1,0.24,0.7,0.1642,241
2,0,4,15,0,5,1,3,0.34,0.87,0.194,75
2,1,5,22,0,4,1,1,0.66,0.5,0.1642,264
2,0,4,18,0,1,1,1,0.68,0.57,0.3582,499
3,0,7,22,0,6,0,1,0.78,0.52,0.1045,209
4,0,11,21,0,5,1,1,0.36,0.71,0.0,85
3,0,8,2,0,2,1,1,0.72,0.7,0.0,12
1,1,1,0,0,5,1,2,0.4,0.82,0.2537,38
4,1,10,5,0,3,1,2,0.36,0.81,0.0,41
2,0,3,22,0,3,1,2,0.32,0.93,0.1642,44
3,1,8,18,0,4,1,1,0.8,0.38,0.1343,853
2,1,5,23,0,4,1,1,0.48,0.48,0.1045,135
4,0,10,2,0,6,0,1,0.46,0.59,0.194,56
4,0,12,9,0,3,1,3,0.44,1.0,0.2537,64
3,1,7,9,0,5,1,2,0.72,0.51,0.0,414
4,1,10,2,0,2,1,3,0.36,0.87,0.2537,7
1,0,12,21,1,1,0,1,0.26,0.7,0.0,49
3,1,7,1,0,1,1,2,0.76,0.58,0.194,17
2,1,4,23,0,1,1,1,0.44,0.44,0.2985,67
1,1,1,12,0,1,1,2,0.22,0.93,0.0,62
4,0,11,23,0,0,0,1,0.34,0.87,0.0896,50
4,1,11,11,0,5,1,1,0.42,0.41,0.4179,221
1,0,3,16,0,4,1,1,0.5,0.48,0.2836,142
1,0,3,7,0,4,1,1,0.12,0.42,0.4179,111
1,0,2,22,0,6,0,1,0.26,0.93,0.1343,45
2,1,5,19,0,3,1,1,0.7,0.54,0.2836,590
1,0,2,3,0,5,1,1,0.46,0.67,0.2537,8
2,0,5,12,0,0,0,1,0.62,0.73,0.2985,367
1,0,12,12,0,3,1,3,0.46,0.88,0.3881,61
1,0,2,15,0,6,0,1,0.34,0.29,0.4179,174
1,0,3,12,0,3,1,1,0.4,0.43,0.194,82
4,1,10,4,0,2,1,3,0.36,0.87,0.1642,7
3,1,7,5,0,2,1,1,0.68,0.74,0.0896,38
